Age,Income,Gender,Product,Quantity
56,59544.57663,Female,D,3
46,36399.18997,Female,,1
32,57140.63881,Female,D,2
60,69554.91903,Male,C,5
25,53173.80518,Female,D,2
38,58955.66969,Female,A,2
56,36554.97225,Male,D,1
36,48320.18269,Female,A,4
40,72034.11928,Male,D,2
28,33141.52498,Female,D,3
28,64250.08093,Female,B,4
41,,Female,A,5
53,,Male,B,1
57,24735.68932,Male,A,5
41,54902.67836,Female,B,4
20,48783.21569,Male,C,4
39,57016.9213,Male,D,4
19,61041.83526,Male,A,5
41,38304.47179,Male,A,4
61,37341.55459,Male,D,5
47,47741.99213,Male,A,4
55,35516.63492,Female,A,3
19,52257.33617,Female,B,4
38,48298.68123,Male,A,5
50,89502.92331,Female,C,2
29,34623.63667,Female,C,4
39,38269.28261,Female,D,2
61,56359.14605,Female,A,3
42,,Male,D,1
44,84308.38974,Female,C,3
59,74343.80749,Female,A,4
45,62355.99615,Male,A,2
33,,Male,D,2
32,63449.45576,Female,C,5
64,40845.16974,Female,,2
61,45257.51155,Female,D,5
20,27763.6363,Female,C,1
54,46567.28726,Female,D,4
24,64439.61935,Female,B,5
38,,Male,A,1
26,38389.35604,Female,B,2
56,44603.32782,Female,C,2
35,,Male,B,1
21,,Male,B,2
42,62748.81806,Male,C,1
31,30330.13661,Male,,5
26,36945.42568,Female,B,5
43,42400.35171,Female,D,1
19,30350.73969,Female,B,5
37,94154.95125,Female,D,5
45,33556.01307,Female,C,5
64,63723.26483,Female,B,3
24,40009.0907,Male,C,4
61,42293.18763,Female,B,2
25,54519.84201,Male,C,3
64,28122.24619,Male,C,5
52,40058.9253,Female,B,1
31,47802.9079,Male,B,5
34,37309.74475,Female,B,4
53,37662.65947,Male,A,5
57,66300.90535,Female,D,1
21,65074.80321,Male,A,4
19,43373.50965,Female,A,5
23,48737.52372,Female,C,4
59,,Female,B,2
21,28602.81673,Female,D,2
46,,Female,C,5
35,79618.56795,Male,A,4
43,79475.52146,Male,B,1
61,20901.33172,Male,C,5
51,38560.59554,Female,B,2
27,52529.89081,Male,C,2
53,30171.84574,Female,B,5
31,,Female,A,4
48,47940.63494,Male,D,2
32,71019.82347,Male,A,4
25,49318.96017,Female,D,2
31,53254.05089,Male,B,2
40,57686.35599,Female,C,3
57,58152.33037,Female,A,2
38,50421.49195,Female,D,1
33,32043.69405,Female,A,5
62,61845.09207,Female,D,5
35,56472.34195,Male,A,4
64,33548.71552,Male,D,2
41,39765.47654,Female,D,1
43,63312.67422,Female,,4
42,59082.24696,Male,D,3
62,39195.53011,Male,B,4
58,45950.99346,Female,D,4
46,47848.06656,Male,C,2
32,59255.05664,Female,C,3
62,68734.11049,Male,C,4
18,50984.73737,Female,D,1
42,67538.1147,Male,,1
24,63099.75454,Female,B,5
26,53084.75201,Male,D,3
41,28347.74972,Male,C,3
120,34584.33704,Female,C,5
61,300000,Male,B,4
61,37341.55459,Male,D,5
55,35516.63492,Female,A,3
31,53254.05089,Male,B,2
21,,Male,B,2
60,69554.91903,Male,C,5